Feature,Mean,Std,Skewness,Kurtosis
Dst Port,9452.38888,19161.86663035539,1.8131167716287306,1.4513635100020261
Protocol,8.807884,4.95349347339172,0.9757650253146969,-0.8041939035242591
Flow Duration,12478881.206424,31177456.558847874,2.600191793841205,5.30452118199148
Tot Fwd Pkts,31.035472,1797.2773278058423,73.86001885759428,5685.177034133231
Tot Bwd Pkts,6.272184,144.55196452816523,105.34826969870333,13612.664388765625
TotLen Fwd Pkts,1231.165852,59982.7578024598,76.54003802173969,6427.463137507122
TotLen Bwd Pkts,4571.550404,207178.7267618228,106.94699526118295,14008.038439020844
Fwd Pkt Len Max,206.554096,312.1983353203938,8.035040420719918,792.4827550028424
Fwd Pkt Len Min,11.32956,25.241727254401173,13.114404382176177,474.6575868993223
Fwd Pkt Len Mean,51.718464575115284,62.565168976502925,13.165451256214839,1508.82293532769
Fwd Pkt Len Std,72.91914928644908,118.1528221910701,2.6321010156828657,58.6719690205884
Bwd Pkt Len Max,359.573712,499.5948916339758,1.191393534768175,-0.23972895315608467
Bwd Pkt Len Min,26.965536,51.33499408161234,2.1118608418600036,6.1818518914198455
Bwd Pkt Len Mean,115.43024726059608,162.94818076260094,3.3056524112656396,16.0330515631184
Bwd Pkt Len Std,135.21413031973537,205.47659193287026,1.247840955465438,0.17826970906606787
Flow Byts/s,245911.44400656215,3253782.602107133,44.03374358081162,3657.325124638361
Flow Pkts/s,32830.127144604594,216316.93058255158,9.282461527285543,91.70440680267026
Flow IAT Mean,3505768.4524239316,13956060.131687198,4.802335354165571,23.010592372790132
Flow IAT Std,1012856.391421042,3610327.2802458517,7.075919580801091,79.2928093358378
Flow IAT Max,6328437.349816,17382577.283734195,3.2671755940792657,10.032467720807944
Flow IAT Min,3060042.379664,13937173.286285317,4.897854978554164,23.724322906710768
Fwd IAT Tot,12187716.742388,31102610.63904496,2.623367519599278,5.414518248743319
Fwd IAT Mean,3840167.84986065,14143173.98499738,4.671689963542623,22.02276664654604
Fwd IAT Std,1145851.7838092567,4204582.239801728,5.526485171724064,37.442088410338364
Fwd IAT Max,6136319.228684,17309175.371875733,3.2943573388360807,10.171728194022581
Fwd IAT Min,3149436.38554,14096056.78005455,4.846946846088867,23.26521249934996
Bwd IAT Tot,7766779.985856,26126837.87936546,3.5750581276096214,11.304943432637966
Bwd IAT Mean,840444.7887274484,4364588.702740637,12.256047260159157,191.4480494762449
Bwd IAT Std,872235.6097080904,3412035.1111934385,6.0884542583586425,44.89087622296158
Bwd IAT Max,2674325.497568,10351415.424603935,5.079362046712663,25.941358373509832
Bwd IAT Min,294588.622288,3841451.117862554,16.871849001573487,315.8227915615627
Fwd PSH Flags,0.044892,0.2070673316665847,4.395784088490962,17.323056337017036
Bwd PSH Flags,0.0,0.0,0.0,0.0
Fwd URG Flags,0.00018,0.013415227164430707,74.51592022492592,5550.6667723016335
Bwd URG Flags,0.0,0.0,0.0,0.0
Fwd Header Len,317.798864,14423.402830436273,73.24955128500001,5614.693853253086
Bwd Header Len,131.891248,2827.223746463207,106.50370737091437,14128.508820843334
Fwd Pkts/s,27201.817478753102,200748.64568807164,10.154486204111464,108.93021252017053
Bwd Pkts/s,5626.892337672689,49807.54682022326,20.942557295777938,603.9422301918299
Pkt Len Min,11.175008,22.93067088993704,6.82577084875267,118.2418078287294
Pkt Len Max,400.148008,519.588204328428,2.3525738991400416,100.21617947783957
Pkt Len Mean,79.32009974059477,102.79373024232544,3.7523533238252513,25.45584610670477
Pkt Len Std,124.65529773072188,163.09533925034893,1.3629348775767864,4.97815262178609
Pkt Len Var,42138.92653742259,97667.83143466907,108.61949732059682,32074.607071675888
FIN Flag Cnt,0.004888,0.06974329295715577,14.198238710404556,199.5915792102003
SYN Flag Cnt,0.044892,0.2070673316665847,4.395784088490962,17.323056337017036
RST Flag Cnt,0.192936,0.3946040075231003,1.5563271060478332,0.4221574382147324
PSH Flag Cnt,0.387164,0.48710264439843154,0.46329825548195985,-1.78536900948345
ACK Flag Cnt,0.33092,0.47054525738908154,0.7186613827073906,-1.483537685370584
URG Flag Cnt,0.038984,0.19355722048425472,4.763652701811842,20.692552603836106
CWE Flag Count,0.00018,0.013415227164430707,74.51592022492592,5550.6667723016335
ECE Flag Cnt,0.19294,0.39460712013231214,1.5562945564524722,0.4220561228285784
Down/Up Ratio,0.48554,0.9400055546866577,126.02936166918771,27268.12777030817
Pkt Size Avg,91.51155597335614,107.21621776657273,3.325819764321665,21.483572181353903
Fwd Seg Size Avg,51.718464575115284,62.565168976502925,13.165451256214839,1508.82293532769
Bwd Seg Size Avg,115.43024726059608,162.94818076260094,3.3056524112656396,16.033051563118395
Fwd Byts/b Avg,0.0,0.0,0.0,0.0
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0
Bwd Byts/b Avg,0.0,0.0,0.0,0.0
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0
Subflow Fwd Pkts,31.035472,1797.2773278058423,73.86001885759428,5685.177034133231
Subflow Fwd Byts,1231.165852,59982.7578024598,76.54003802173969,6427.463137507122
Subflow Bwd Pkts,6.272184,144.55196452816523,105.34826969870333,13612.664388765625
Subflow Bwd Byts,4571.530192,207176.78602769328,106.94730265344468,14008.218012326663
Init Fwd Win Byts,8575.238576,16323.439750540774,2.668802130779566,6.189985765416703
Init Bwd Win Byts,8911.276636,20814.968165656068,2.0914136890441197,2.5508433804514894
Fwd Act Data Pkts,27.400024,1796.592775526831,73.94589677219439,5694.270211963215
Fwd Seg Size Min,17.54696,7.131775529788416,-0.03040725423489605,0.25913332652286325
Active Mean,177814.99174,2566416.5408904883,24.613234386591405,693.2373411199441
Active Std,87710.027424,1533081.8540174866,25.695022842429907,699.9335573414445
Active Max,268138.529252,3382034.3118847013,20.06840076105419,426.05510294110275
Active Min,119582.016792,2174141.338998125,33.78354062716336,1235.562033487416
Idle Mean,4926283.0206859,16080861.330949042,3.776040861121495,13.889939953499205
Idle Std,154814.60746288561,1696777.6802128316,16.12436349217961,300.00058390675116
Idle Max,5057712.498188,16333404.996231707,3.6890585996341807,13.135423839364396
Idle Min,4780969.480056,15956490.61602168,3.8552496724399257,14.456097938140573
