Init Fwd Win Byts,Fwd IAT Tot,Fwd IAT Max,Dst Port,Fwd IAT Mean,Fwd Header Len,Flow IAT Max,Flow Duration,Fwd Pkts/s,TotLen Fwd Pkts,Subflow Fwd Byts,Fwd Pkt Len Mean,Fwd Seg Size Avg,Fwd Pkt Len Max,Flow IAT Mean,Flow Pkts/s,Pkt Len Max,Pkt Len Mean,Fwd IAT Min,Bwd Pkt Len Mean,Pkt Size Avg,Bwd Seg Size Avg,Bwd Pkt Len Max,TotLen Bwd Pkts,Subflow Bwd Byts,Pkt Len Var,Pkt Len Std,Flow IAT Min,Fwd Seg Size Min,Fwd Pkt Len Std
225,1945,1945,80,1945.0,64,1945,1945,1028.277635,0,0,0.0,0.0,0,1945.0,1028.277635,0,0.0,1945,0.0,0.0,0.0,0,0,0,0.0,0.0,1945,32,0.0
225,24819,24819,80,24819.0,64,24819,24819,80.58342399,0,0,0.0,0.0,0,24819.0,80.58342399,0,0.0,24819,0.0,0.0,0.0,0,0,0,0.0,0.0,24819,32,0.0
225,18726,18726,80,18726.0,64,18726,18726,106.803375,0,0,0.0,0.0,0,18726.0,106.803375,0,0.0,18726,0.0,0.0,0.0,0,0,0,0.0,0.0,18726,32,0.0
225,242,242,80,242.0,64,242,242,8264.46281,0,0,0.0,0.0,0,242.0,8264.46281,0,0.0,242,0.0,0.0,0.0,0,0,0,0.0,0.0,242,32,0.0
225,72896,41368,80,36448.0,96,41368,72896,41.15452151,0,0,0.0,0.0,0,36448.0,41.15452151,0,0.0,31528,0.0,0.0,0.0,0,0,0,0.0,0.0,31528,32,0.0
225,54767,41629,80,27383.5,96,41629,54767,54.77751201,0,0,0.0,0.0,0,27383.5,54.77751201,0,0.0,13138,0.0,0.0,0.0,0,0,0,0.0,0.0,13138,32,0.0
225,417,417,80,417.0,64,417,417,4796.16307,0,0,0.0,0.0,0,417.0,4796.16307,0,0.0,417,0.0,0.0,0.0,0,0,0,0.0,0.0,417,32,0.0
225,64206,42411,80,32103.0,96,42411,64206,46.72460518,0,0,0.0,0.0,0,32103.0,46.72460518,0,0.0,21795,0.0,0.0,0.0,0,0,0,0.0,0.0,21795,32,0.0
225,19802,19802,80,19802.0,64,19802,19802,100.999899,0,0,0.0,0.0,0,19802.0,100.999899,0,0.0,19802,0.0,0.0,0.0,0,0,0,0.0,0.0,19802,32,0.0
225,623,623,80,623.0,64,623,623,3210.272873,0,0,0.0,0.0,0,623.0,3210.272873,0,0.0,623,0.0,0.0,0.0,0,0,0,0.0,0.0,623,32,0.0
225,3679,3679,80,3679.0,64,3679,3679,543.6259853,0,0,0.0,0.0,0,3679.0,543.6259853,0,0.0,3679,0.0,0.0,0.0,0,0,0,0.0,0.0,3679,32,0.0
225,3172,3172,80,3172.0,64,3172,3172,630.517024,0,0,0.0,0.0,0,3172.0,630.517024,0,0.0,3172,0.0,0.0,0.0,0,0,0,0.0,0.0,3172,32,0.0
225,1000,1000,80,1000.0,64,1000,1000,2000.0,0,0,0.0,0.0,0,1000.0,2000.0,0,0.0,1000,0.0,0.0,0.0,0,0,0,0.0,0.0,1000,32,0.0
225,39970,39970,80,39970.0,64,39970,39970,50.03752815,0,0,0.0,0.0,0,39970.0,50.03752815,0,0.0,39970,0.0,0.0,0.0,0,0,0,0.0,0.0,39970,32,0.0
225,3449,3449,80,3449.0,64,3449,3449,579.8782256,0,0,0.0,0.0,0,3449.0,579.8782256,0,0.0,3449,0.0,0.0,0.0,0,0,0,0.0,0.0,3449,32,0.0
225,2950,2950,80,2950.0,64,2950,2950,677.9661017,0,0,0.0,0.0,0,2950.0,677.9661017,0,0.0,2950,0.0,0.0,0.0,0,0,0,0.0,0.0,2950,32,0.0
225,40433,40433,80,40433.0,64,40433,40433,49.46454629,0,0,0.0,0.0,0,40433.0,49.46454629,0,0.0,40433,0.0,0.0,0.0,0,0,0,0.0,0.0,40433,32,0.0
225,3522,3522,80,3522.0,64,3522,3522,567.8591709,0,0,0.0,0.0,0,3522.0,567.8591709,0,0.0,3522,0.0,0.0,0.0,0,0,0,0.0,0.0,3522,32,0.0
225,119,119,80,119.0,64,119,119,16806.72269,0,0,0.0,0.0,0,119.0,16806.72269,0,0.0,119,0.0,0.0,0.0,0,0,0,0.0,0.0,119,32,0.0
225,2224,2224,80,2224.0,64,2224,2224,899.2805755,0,0,0.0,0.0,0,2224.0,899.2805755,0,0.0,2224,0.0,0.0,0.0,0,0,0,0.0,0.0,2224,32,0.0
225,30271,30271,80,30271.0,64,30271,30271,66.06983582,0,0,0.0,0.0,0,30271.0,66.06983582,0,0.0,30271,0.0,0.0,0.0,0,0,0,0.0,0.0,30271,32,0.0
225,66103,39298,80,33051.5,96,39298,66103,45.38371935,0,0,0.0,0.0,0,33051.5,45.38371935,0,0.0,26805,0.0,0.0,0.0,0,0,0,0.0,0.0,26805,32,0.0
225,8180,8180,80,8180.0,64,8180,8180,244.4987775,0,0,0.0,0.0,0,8180.0,244.4987775,0,0.0,8180,0.0,0.0,0.0,0,0,0,0.0,0.0,8180,32,0.0
225,4081,4081,80,4081.0,64,4081,4081,490.0759618,0,0,0.0,0.0,0,4081.0,490.0759618,0,0.0,4081,0.0,0.0,0.0,0,0,0,0.0,0.0,4081,32,0.0
225,64600000,64600000,80,16200000.0,168,64600000,64638988,0.077352696,309,309,61.8,61.8,309,7182109.778,0.154705392,935,113.0909091,10821,187.0,124.4,187.0,935,935,935,82902.09091,287.927232,4,32,138.189001
225,99643,58160,80,49821.5,96,58160,99643,30.10748372,0,0,0.0,0.0,0,49821.5,30.10748372,0,0.0,41483,0.0,0.0,0.0,0,0,0,0.0,0.0,41483,32,0.0
225,5874,5874,80,5874.0,64,5874,5874,340.4834866,0,0,0.0,0.0,0,5874.0,340.4834866,0,0.0,5874,0.0,0.0,0.0,0,0,0,0.0,0.0,5874,32,0.0
